Date,SPY,VGK,EEM,GLD,TLT
2018-04-30,0.15527579772137665,0.3078969442108939,0.13075562944767222,0.22290281021032604,0.1831688184097312
2018-05-31,0.2144104205328621,0.15601677870799277,0.13987125753379379,0.28690183424471766,0.20279970898063374
2018-07-31,0.23028005790020567,0.17104244060256119,0.11618975831756409,0.24390500446334867,0.2385827387163203
2018-08-31,0.2964863961682385,0.14591155417174154,0.09742089741293483,0.1729343647765442,0.28724678747054094
2018-10-31,0.15719887249241798,0.17350632544302227,0.11579486088492515,0.2687558609017698,0.2847440802778647
2018-11-30,0.12904582133687834,0.14002083927971656,0.09368517714105279,0.2871365792424527,0.3501115829998996
2018-12-31,0.09768912845427591,0.15110810136782168,0.14435170060157906,0.3105999150072519,0.2962511545690714
2019-01-31,0.1370663455676677,0.17089521303990926,0.12843307581733368,0.28540217791674494,0.2782031876583444
2019-02-28,0.23638922443120203,0.18759723900905254,0.14515806191486727,0.20853309533336467,0.2223223793115135
2019-04-30,0.22308661480015068,0.20054831164363943,0.1414739865899558,0.21632835789654503,0.218562729069709
2019-05-31,0.16176404633992708,0.14853440562975223,0.12145567657312378,0.2726469868061836,0.2955988846510133
2019-07-31,0.22127955691558202,0.21833579819921728,0.18505423851098468,0.14823038418747422,0.22710002218674188
2019-09-30,0.1865358800862367,0.24406785859356103,0.1790224096382303,0.2037351108333927,0.18663874084857932
2019-10-31,0.1944391519575713,0.17020472082896784,0.2143758227799528,0.22548444436105677,0.19549586007245126
2019-12-31,0.2749110039093106,0.22642475543202217,0.16105708096251267,0.20029956170405142,0.13730759799210315
2020-01-31,0.21044060251919655,0.20550068374956276,0.11553944349992783,0.27110076862901017,0.19741850160230268
2020-03-31,0.14722967118201427,0.14912257580166938,0.1486544876733735,0.3324852708481538,0.22250799449478903
2020-04-30,0.14029189369638856,0.14988367594351315,0.15271730140709996,0.23750923756250017,0.31959789139049827
2020-06-30,0.16043319294562272,0.14330556650103593,0.14994805210470014,0.2849530373954677,0.26136015105317345
2020-07-31,0.2045775438549646,0.14992216137055642,0.11711885807751833,0.24542934681119086,0.2829520898857698
2020-08-31,0.33756865920717843,0.16676856559267844,0.1648788050970076,0.09614522216936995,0.2346387479337655
2020-09-30,0.13431612535578666,0.15284598508597685,0.16303920821926937,0.23727004956330452,0.31252863177566254
2020-11-30,0.1849527533423695,0.15936401049047014,0.19810628897110744,0.20366515617759098,0.253911791018462
2020-12-31,0.2792399541923731,0.16266340311753288,0.14189036045240142,0.179845514306069,0.23636076793162367
2021-03-31,0.21025879824296037,0.22445509438918665,0.13843385722971394,0.19689825700291075,0.22995399313522824
2021-04-30,0.2313653727286822,0.1705050199278704,0.18360113016532367,0.20227355260710786,0.2122549245710158
2021-06-30,0.23218048964054966,0.18014549088081855,0.16958385582264546,0.1846840233469356,0.23340614030905069
2021-08-31,0.25688091422629733,0.201321879022165,0.13861254210697277,0.20899257467177884,0.19419208997278609
2021-09-30,0.23325984468317257,0.19453069046683874,0.1733097711692235,0.19726032798066667,0.2016393657000986
2021-11-30,0.21686564377982817,0.22809748302758773,0.1808705278274359,0.21006331889711874,0.16410302646802943
2021-12-31,0.1482184175512135,0.18171202157962385,0.1881653801861403,0.2974217312123393,0.18448244947068304
2022-01-31,0.18008010999609855,0.2257105243842588,0.15311118581107436,0.24015057778971838,0.20094760201885
2022-02-28,0.15474441400507072,0.14479250088223775,0.15527810710511367,0.32697689481626524,0.21820808319131282
2022-03-31,0.23454614775917143,0.14286202072594734,0.1454079065818111,0.25010524146963997,0.22707868346343008
2022-05-31,0.14232296460346386,0.171834120119717,0.1696578138967675,0.3121766278174253,0.20400847356262652
2022-06-30,0.15598175753448854,0.16156833734081857,0.17977255531941153,0.3030957030447887,0.19958164676049264
2022-08-31,0.17428094431442998,0.15893544600099616,0.21793848960752152,0.26587132601608615,0.18297379406096617
2022-09-30,0.17815381925595503,0.1511896777398341,0.2161687591842742,0.27774731912707795,0.1767404246928587
2022-10-31,0.16191250496973475,0.1498047341172308,0.1728146128135361,0.2825528975654881,0.23291525053401024
2022-11-30,0.17513176444408216,0.16049879266461087,0.17744059703553364,0.25714293202483524,0.22978591383093813
2023-01-31,0.18332155365962974,0.2168498507899206,0.19558214330105134,0.24326478422836867,0.16098166802102964
2023-02-28,0.1850674956074059,0.20261726730644689,0.2065475732203557,0.21644733200011862,0.1893203318656728
2023-03-31,0.2172774147937715,0.17165534576078875,0.2286558904199675,0.19875397800326933,0.18365737102220298
